"<ID>";"<ENT>N";"N0 =: Nhum";"N0 =: N-hum";"Det =: du";"Det =: un-de Dnum Nmes";"N0 être d'un certain N";"N0 être de Det N Modif";"N0 être de N Modif";"il y avoir Det N Loc N0";"N0 avoir le N de V0-inf W";"Exemple Base1";"Exemple Base2";"Exemple Autre1";"Exemple Autre2";"Exemple Autre3";"Exemple Autre4";"Exemple Autre5";"Exemple Autre6";"Exemple Autre7";"Exemple Autre8"
"336";"teinte";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"337";"tempérament";"+";"-";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"338";"tempérament";"+";"-";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"339";"température";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"340";"tempo";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"341";"tension";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"342";"tension";"+";"-";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"343";"tenue";"+";"-";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"344";"tenue";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"345";"territorialité";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"346";"tessiture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"347";"texture";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"348";"timbre";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"349";"titre";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"350";"ton";"-";"+";"-";"-";"-";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"351";"ton";"+";"-";"-";"-";"-";"-";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"352";"tonalité";"-";"+";"-";"-";"+";"+";"+";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"353";"tonnage";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"354";"tonus";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"355";"total";"-";"+";"-";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"356";"tournure";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"357";"tracé";"-";"+";"-";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"358";"tradition";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"359";"tranchant";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"360";"trempe";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"361";"turpitude";"+";"-";"-";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"362";"type";"+";"-";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"363";"unité";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"364";"usage";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"365";"utilisation";"-";"+";"-";"-";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"366";"valeur";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"367";"velouté";"-";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"368";"ventosité";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"369";"venue";"-";"+";"-";"-";"-";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"370";"verbalisme";"-";"+";"-";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"371";"verdeur";"+";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"372";"verve";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"373";"vétusté";"-";"+";"+";"-";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"374";"vitalité";"+";"+";"+";"-";"+";"+";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"375";"vitesse";"-";"+";"+";"+";"+";"+";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"376";"volonté";"+";"-";"+";"-";"+";"+";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"377";"voltage";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"378";"volume";"-";"+";"-";"+";"+";"+";"+";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"
"379";"volume";"-";"+";"+";"-";"-";"-";"-";"-";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~"

